Obs,Trt,Variety,Brand,MG,Herbicide_Trait,Seed_Treatment,Herbicide,Vigor,Run,Rep,Rating,Rating_Cor,Rating_beta
1,7144,168,NuTech,1.4,GT,SmartCote Supreme,metr,10,1,1,7.666666667,0.766666667,0.766666667
2,7198,169,NuTech,1.9,GT,SmartCote Supreme,metr,6,1,1,6,1,0.9999
3,7224,170,NuTech,2.2,GT,SmartCote Supreme,metr,8.5,1,1,7,0.823529412,0.823529412
4,7253,172,NuTech,2.5,GT,SmartCote Supreme,metr,6,1,1,6.5,1.083333333,0.9999
5,0900GT,210,Tracy,0.9,GT,"Intego Suite, N Force",metr,10,1,1,9,0.9,0.9
6,1071R2X,83,Jung,0.7,RR2X,Acceleron F/I,metr,8,1,1,8,1,0.9999
7,1091R2X,84,Jung,0.9,RR2X,Acceleron F/I,metr,9.333333333,1,1,7,0.75,0.75
8,1122R2X,85,Jung,1.2,RR2X,Acceleron F/I,metr,10,1,1,6,0.6,0.6
9,1142R2X,86,Jung,1.4,RR2X,Acceleron F/I,metr,10,1,1,7.666666667,0.766666667,0.766666667
10,1154R2X,87,Jung,1.5,RR2X,Acceleron F/I,metr,7.333333333,1,1,7,0.954545455,0.954545455
11,1171R2Y,179,ProHarvest ,1.1,RR2Y,"CruiserMaxx, Vibrance",metr,9,1,1,8,0.888888889,0.888888889
12,1173R2X,88,Jung,1.7,RR2X,Acceleron F/I,metr,5,1,1,5,1,0.9999
13,1182R2X,89,Jung,1.8,RR2X,Acceleron F/I,metr,10,1,1,7,0.7,0.7
14,1203R2X,90,Jung,2,RR2X,Acceleron F/I,metr,10,1,1,6,0.6,0.6
15,1213R2X,91,Jung,2.1,RR2X,Acceleron F/I,metr,.,1,1,9,1,0.9999
16,1218N,216,Viking,1.2,CN,None,metr,9.333333333,1,1,6,0.642857143,0.642857143
17,1223R2X,92,Jung,2.2,RR2X,Acceleron F/I,metr,4,1,1,7.666666667,1.916666667,0.9999
18,1243R2X,93,Jung,2.4,RR2X,Acceleron F/I,metr,.,1,1,6.666666667,0.761904762,0.761904762
